Titles,DOIs
"Torrential flood risk assessment and environmentally friendly solutions for small catchments located in the romania natura 2000 sites ciucas, postavaru and piatra mare",10.1016/J.SCITOTENV.2019.134271
Mapping the capacity of concave green land in mitigating urban pluvial floods and its beneficiaries,10.1016/J.SCS.2018.11.003
Urban flash flood index based on historical rainfall events,10.1016/J.SCS.2020.102088
Perspectives for flood risk assessment and management for mega-city metro system,10.1016/J.TUST.2018.10.019
Urban stream restoration in korea: design considerations and residents' willingness to pay,10.1016/J.UFUG.2011.02.001
"Variation of hydro-environment during past four decades with underground sponge city planning to control flash floods in wuhan, china: an overview",10.1016/J.UNDSP.2019.01.003
Physically-based landfalling tropical cyclone scenarios in support of risk assessment,10.1016/J.WACE.2019.100229
Is there any chance for the poor to cope with extreme environmental events? Two case studies in the solomon islands,10.1016/J.WORLDDEV.2019.06.023
The 12-13 november 1999 flash flood in southern france,10.1016/S0169-8095(00)00097-1
Assessment of flood with regards to land cover changes,10.1016/S2212-5671(14)01021-1
Resilientscapes: perception and resilience to reduce vulnerability in the island of madeira,10.1016/S2212-567104100970-8
Response functions in disasters: iran flash flood 2016,10.1017/DMP.2018.94
Social and gender perspectives in rice breeding for submergence tolerance in southeast asia,10.1017/S0014479713000409
Regional landslide risk to the cairns community,10.1023/A:1026122518661
Vulnerability to flash floods: a simplified structural model for masonry buildings,10.1029/2018WR022577
"Flood inundation assessment for the hanoi central area, vietnam under historical and extreme rainfall conditions",10.1038/S41598-018-30024-5
Integrated stormwater inflow control for sewers and green structures in urban landscapes,10.1038/S41893-019-0392-1
Floods in the north-western mediterranean region: presentation of the hymex database and comparison with pre-existing global databases,10.1051/1HB/2013001
Analytic back calculation of debris flow damage incurred to a masonry building: the case of scaletta zanclea 2009 event,10.1051/E3SCONF/20160704007
Assessing the exposure to floods to estimate the risk of flood-related damage in french mediterranean basins,10.1051/E3SCONF/20160704013
Flashflood-related mortality in southern france: first results from a new database,10.1051/E3SCONF/20160706001
From the risk culture to the local cultures of risk. An ethnographic investigation of living with a constant flood risk in the south east of france,10.1051/E3SCONF/20160708005
From the risk culture to the local cultures of risk. An ethnographic investigation of living with a constant flood risk in the south east of france,10.1051/E3SCONF/20160709001
Effectiveness and applicability of flood barriers for risk mitigation in flash-flood prone mediterranean area,10.1051/E3SCONF/20160712010
A space-time geostatistical approach for ensemble rainfall nowcasting,10.1051/E3SCONF/20160718001
Setting up a french national flash flood warning system for ungauged catchments based on the aiga method,10.1051/E3SCONF/20160718010
Regional models for distributed flash-flood nowcasting: towards an estimation of potential impacts and damages,10.1051/E3SCONF/20160718013
Flood risk management: cases studies in french mediterranean area,10.1051/E3SCONF/20160720019
Are urban floods flash floods?,10.1051/LHB:200402010
Flash-flood vulnerability and population's mobility in crisis period,10.1051/LHB:200406016
Flash floods forecasting strategies and operative tools,10.1051/LHB:200501004
Issues in the forecast and management of natural floods and flash floods,10.1051/LHB:2007032
The hydrometeorological forecast and the management of edf electricity production structures in case of flood: the example of the floods of february and may 1999 on the rhine river,10.1051/LHB/2000035
The hydrometeorological forecasting in the framework of the european project flash,10.1051/LHB/2009080
When and how to decide the evacuation of a major city (like orleans-france) before a major flood breaches the dikes,10.1051/LHB/2011029
Investigating ``risk culture. Ethnography of a wealthy neighborhood in a threatened area,10.1051/LHB/2016010
Integrating high-resolution precipitation nowcasts for improved flash flood warnings,10.1051/LHB/2019023
Do the sirens are useful to alert the populations during flash floods?,10.1051/LHB/2019026
Espada: a fully modernized system for real time management of urban flash floods under current modernization,10.1051/LHB/2019027
Ecological aspect of dam design for flood regulation and sustainable urban development,10.1051/MATECCONF/20167303003
Effect of extreme rain and land covering change in jatihandap on 20 march 2018 flash flood,10.1051/MATECCONF/201927004003
"Hydrologic assessment approach for river bridges in western black sea basin, turkey",10.1061/(ASCE)CF.1943-5509.0001372
Improvement of urban drainage system performance under climate change impact: case study,10.1061/(ASCE)HE.1943-5584.0000317
"Physically based hydrological modeling of the 2002 floods in san antonio, texas",10.1061/(ASCE)HE.1943-5584.0000475
"Distributed stormwater controls for flood mitigation within urbanized watersheds: case study of rocky branch watershed in columbia, south carolina",10.1061/(ASCE)HE.1943-5584.0001430
Frequency analysis of flash floods for establishing new danger levels for the rivers in the northeast haor region of bangladesh,10.1061/(ASCE)HE.1943-5584.0001760
Evaluating metropolitan flood coping capabilities under heavy storms,10.1061/(ASCE)HE.1943-5584.0001793
Stochastic modeling of road system performance during multihazard events: flash floods and earthquakes,10.1061/(ASCE)IS.1943-555X.0000391
"Interactions among flood predictions, decisions, and outcomes: synthesis of three cases",10.1061/(ASCE)NH.1527-6996.0000011
Analysis of flood fatalities in texas,10.1061/(ASCE)NH.1527-6996.0000145
2015 memorial day flood impacts for changing watershed conditions in houston,10.1061/(ASCE)NH.1527-6996.0000241
Dispersed storage as stormwater runoff control in consolidated urban watersheds with flash flood risk,10.1061/(ASCE)WR.1943-5452.0000702
"Characteristics of urban waterlogging and flash flood hazards and their integrated preventive measures: case study in fuzhou, china",10.1061/JSWBAY.0000835
Incipient velocity for partially submerged vehicles in floodwaters,10.1080/00221686.2011.616318
"Uncertainty analysis of flash-flood system using remote sensing and a geographic information system based on gciuh in the yeongdeok basin, korea",10.1080/01431160601086035
Relocating a flood-affected community: good planning or good politics?,10.1080/01944363.2014.976586
Causes for record high flood losses in the central united states,10.1080/02508060108686908
The use of icts and mobilisation in the age of parallel media - an emerging fifth estate? A case study of nafeer's flood campaign in the sudan,10.1080/02560054.2014.922111
Rainfall-runoff-inundation analysis of the 2010 pakistan flood in the kabul river basin,10.1080/02626667.2011.644245
"Hydrological and meteorological extremes derived from taxation records: the estates of brtnice, trebic and velke mezirici, 1706-1849",10.1080/02626667.2013.840727
Analysis of unusual meteorological conditions that led to recent floods in bhagirathi basin (uttarakhand himalayas),10.1080/02626667.2014.951362
Mental health and psychosocial aspects of disaster preparedness in bhutan,10.1080/09540260601037979
Permeable pavement and stormwater management systems: a review,10.1080/09593330.2013.782573
Are local administrations really in charge of flood risk management governance? The spanish mediterranean coastline and its institutional vulnerability issues,10.1080/09640568.2019.1577551
Cognition of disaster risk in a tourism community: an agricultural heritage system perspective,10.1080/09669582.2016.1224890
"Environmental health effects attributed to toxic and infectious agents following hurricanes, cyclones, flash floods and major hydrometeorological events",10.1080/10937404.2019.1654422
"Application of social vulnerability index (sovi) and delineation of natural risk zones in greater lisbon, portugal",10.1080/13669877.2014.910689
Heavy rainfall and flood vulnerability of singapore-malaysia high speed rail system,10.1080/14488353.2017.1336895
Vulnerability to climate change of nature-based tourism in the nepalese himalayas,10.1080/14616680802643359
Urbas: forecasting and management of flash floods in urban areas,10.1080/15730620902934819
"Mapping and classification of direct flood impacts in the complex conditions of an urban environment. The case study of the 2014 flood in athens, greece",10.1080/1573062X.2017.1363247
Built heritage and flash floods: hiking trails and tourism on madeira island,10.1080/1743873X.2015.1082574
"Relationships between geo-hydrological processes induced by heavy rainfall and land-use: the case of 25 october 2011 in the vernazza catchment (cinque terre, nw italy)",10.1080/17445647.2013.780188
Post flash flood survey: the 14th and 15th october 2015 event in the paupisi-solopaca area (southern italy),10.1080/17445647.2016.1249034
"Household labelling for flash flood emergency management (chrastava town, northern czechia)",10.1080/17445647.2017.1378137
Have flood mortality qualitative characteristics changed during the last decades? The case study of greece,10.1080/17477891.2016.1147412
Effectiveness of flood early warning system from the perspective of experts and three affected communities in urban areas of pakistan,10.1080/17477891.2020.1751031
Investigating resilience barriers of small and medium-sized enterprises to flash floods: a quantile regression of determining factors,10.1080/17565529.2019.1596782
Measuring disaster resilience in the philippines: evidence using network data envelopment analysis,10.1080/17565529.2019.1599317
"Potential of high resolution satellite data for disaster management: a case study of leh, jammu \& kashmir (india) flash floods, 2010",10.1080/19475705.2011.580014
Person-place-time analysis of vehicle fatalities caused by flash floods in texas,10.1080/19475705.2011.615343
The fury of the floods in the north-west himalayan region: the kedarnath tragedy,10.1080/19475705.2013.827135
"Flood hazards in an urbanizing watershed in riyadh, saudi arabia",10.1080/19475705.2014.945101
"The impact of human activities on the occurrence of mountain flood hazards: lessons from the 17 august 2015 flash flood/debris flow event in xuyong county, south-western china",10.1080/19475705.2018.1480539
"Flash flood risk assessment in urban arid environment: case study of taibah and islamic universities' campuses, medina, kingdom of saudi arabia",10.1080/19475705.2018.1545705
Effect of reservoir side slopes on dam-break flood waves,10.1080/19942060.2015.1039630
Flood risk evaluation to multiple components on the coast of maresme,10.1080/23863781.2017.1381453
Global mortality from storm surges is decreasing,10.1088/1748-9326/AA98A3
Leveraging machine learning for predicting flash flood damage in the southeast us,10.1088/1748-9326/AB6EDD
Flash flood disasters analysis and evaluation: a case study of yiyang county in china,10.1088/1755-1315/128/1/012035
"Storm water management approach to increase the quality of urban streetscape in sudirman street, bogor city",10.1088/1755-1315/179/1/012019
"Monitoring the variability of precipitable water vapor over the klang valley, malaysia during flash flood",10.1088/1755-1315/20/1/012057
Climate change adaptation and mitigation strategy through submergence tolerance in rice,10.1088/1755-1315/250/1/012030
Sustainable urban drainage as a viable measure of coping with heat and floods due to climate change,10.1088/1755-1315/257/1/012013
The design of flood protection in koberice municipality,10.1088/1755-1315/92/1/012062
A synthesized biophysical and social vulnerability assessment for taiwan,10.1088/1755-1315/94/1/012161
Economic impact due to cimanuk river flood disaster in garut district using cobb-douglas analysis with least square method,10.1088/1757-899X/332/1/012050
Flash floods in texas,10.1093/ENVHIS/14.2.387
A framework for estimating the determinants of spatial and temporal variation in vital rates and inferring the occurrence of unobserved extreme events,10.1098/RSOS.171087
Natural hazards and environmental implications in nepal,10.1108/09653560911003679
Flash flood disasters in uttarakhand,10.1108/09653561011091896
Spatial variability assessment of river-line floods and flash floods in himalaya a case study using gis,10.1108/09653561211219955
Measuring eco-roof mitigation on flash floods via gis simulation,10.1108/BEPAM-07-2015-0031
Information seeking in a flood,10.1108/DPM-05-2012-0059
An empirical investigation of the enablers in humanitarian supply chain management in india a case study,10.1108/JAMR-01-2014-0005
"Convolutional neural network \& x2014,optimized moth flame algorithm for shallow landslide susceptible analysis",10.1109/ACCESS.2020.2973415
Study on slope protection engineering in mountain flood control project based on comparative analysis method,10.1109/ICSCSE.2016.19
An improved discrete particle swarm optimization in evacuation planning,10.1109/SOCPAR.2009.22
Evaluation of rainfall products derived from satellites and microwave links for the netherlands,10.1109/TGRS.2017.2735439
Risk and the neoliberal state: why post-mitch lessons didn't reduce el salvador's earthquake losses,10.1111/1467-7717.00176
2010-2011 queensland floods: using haddon's matrix to define and categorise public safety strategies,10.1111/1742-6723.12097
"Using openmi and a model map to integrate waterml2 and netcdf data sources into flood modeling of genoa, italy",10.1111/1752-1688.12418
Participatory responses to historical flash floods and their relevance for current risk reduction: a view from a post-communist country,10.1111/AREA.12159
"Local perception of infrequent, extreme upland flash flooding: prisoners of experience?",10.1111/DISA.12120
"Chronic institutional failure and enhanced vulnerability to flash-floods in the cuenca altadel rio lerma, mexico",10.1111/DISA.12134
Effects of the 2008 flood on economic performance and food security in yemen: a simulation analysis,10.1111/DISA.12147
"The landslide hazard and human vulnerability in la paz city, bolivia",10.1111/J.1475-4959.2005.00163.X
Flash flood awareness in southwest virginia,10.1111/J.1539-6924.2006.00866.X
Mental models of flash floods and landslides,10.1111/J.1539-6924.2007.00916.X
An integrated one-dimensional and two-dimensional urban stormwater flood simulation model,10.1111/J.1752-1688.2006.TB04487.X
An empirical model of fatalities and injuries due to floods in japan,10.1111/J.1752-1688.2006.TB04500.X
Post-flood field investigations in upland catchments after major flash floods: proposal of a methodology and illustrations,10.1111/J.1753-318X.2008.00023.X
"Vehicle-related flood deaths in the united states, 1995-2005",10.1111/J.1753-318X.2012.01136.X
"Improving flood preparedness using hydrodynamic levee-breach and inundation modelling: middle mississippi river, usa",10.1111/JFR3.12066
Managing flood water of hill torrents as potential source for irrigation,10.1111/JFR3.12081
Interactive flood hazard visualisation in adobe flash,10.1111/JFR3.12188
The use of detention basins to reduce flash flood hazard in small and steep volcanic watersheds - a simulation from madeira island,10.1111/JFR3.12285
Meff: the database of mediterranean flood fatalities (1980 to 2015),10.1111/JFR3.12461
The impact of intense rainfall on insurance losses in two swedish cities,10.1111/JFR3.12504
Historical flash floods in england: new regional chronologies and database,10.1111/JFR3.12526
Use of fluid structure interaction technique for flash flood impact assessment of structural components,10.1111/JFR3.12581
"Analysing flash flood risk perception through a geostatistical approach in the village of navaluenga, central spain",10.1111/JFR3.12590
Assessing flash flood hazard and damages in the southeast united states,10.1111/JFR3.12605
"Natural disasters, economic growth and spatial spillovers: evidence from a flash flood in brazil",10.1111/PIRS.12380
"Flash flood risks and warning decisions: a mental models study of forecasters, public officials, and media broadcasters in boulder, colorado",10.1111/RISA.12403
``know what to do if you encounter a flash flood: mental models analysis for improving flash flood risk communication and public decision making,10.1111/RISA.12480
Mortality patterns of hydro-geomorphologic disasters,10.1111/RISA.12516
Toward probabilistic prediction of flash flood human impacts,10.1111/RISA.12921
Modeling the traffic disruption caused by pluvial flash flood on intra-urban road network,10.1111/TGIS.12311
Hydro-meteorological network for flood monitoring and modeling,10.1117/12.2028621
Urban flash flood applications of high-resolution rainfall estimation by x-band dual-polarization radar network,10.1117/12.977602
Modelling mud deposition patterns due to flash floods in urban areas,10.1127/1860-1804/2011/0162-0443
``safer island concept developed after the 2004 indian ocean tsunami: a case study of maldives,10.1142/S1793431110000704
"Terrain geohazards and sustainable engineering in ladakh, india",10.1144/QJEGH2016-143
"Geology, engineering \& humanities: 3 sciences behind the malpasset dam failure (france, dec. 2, 1959)",10.1144/QJEGH2018-186
Expertise in the wired wild west,10.1145/2675133.2675167
A multimethod approach towards assessing urban flood patterns and its associated vulnerabilities in singapore,10.1155/2016/7159132
"Low-cost solution for assessment of urban flash flood impacts using sentinel-2 satellite images and fuzzy analytic hierarchy process: a case study of ras ghareb city, egypt",10.1155/2019/2561215
"Understanding the effects of changing weather: a case of flash flood in morogoro on january 11, 2018",10.1155/2019/8505903
Investigation of flash flood over the west peninsular malaysia by global positing system network,10.1166/ASL.2015.5845
Effects of smart tunnel maintenance works on flood control and traffic flow,10.1166/ASL.2017.7172
Multiscale overview of a violent tornado outbreak with attendant flash flooding,10.1175/1520-0434(2000)015<0416:MOOAVT>2.0.CO;2
The 21 june 1997 flood: storm-scale simulations and implications for operational forecasting,10.1175/1520-0434(2001)016<0197:TJFSSS>2.0.CO;2
"Two floods in fort collins, colorado: learning from a natural disaster",10.1175/1520-0477(2000)081<2359:TFIFCC>2.3.CO;2
Assessing the impact of collaborative research projects on nws warning performance,10.1175/BAMS-86-2-193
A unified flash flood database across the united states,10.1175/BAMS-D-12-00198.1
A situation-based analysis of flash flood fatalities in the united states,10.1175/BAMS-D-15-00276.1
Does population affect the location of flash flood reports?,10.1175/JAMC-D-15-0329.1
Using climate models to estimate urban vulnerability to flash floods,10.1175/JAMC-D-17-0083.1
Modulation of daily precipitation over east africa by the madden-julian oscillation,10.1175/JCLI-D-13-00693.1
Spatial and temporal characteristics of summer precipitation over central europe in a suite of high-resolution climate models,10.1175/JCLI-D-15-0463.1
"The catastrophic flash-flood event of 8-9 september 2002 in the gard region, france: a first case study for the cevennes-vivarais mediterranean hydrometeorological observatory",10.1175/JHM-400.1
Lagrangian analyses of rainfall structure and evolution for organized thunderstorm systems in the urban corridor of the northeastern united states,10.1175/JHM-D-14-0095.1
"Hydrometeorological analysis of tropical storm hermine and central texas flash flooding, september 2010",10.1175/JHM-D-14-0146.1
The coupling of nssl warn-on-forecast and flash systems for probabilistic flash flood prediction,10.1175/JHM-D-19-0131.1
Performance of operational model precipitation forecast guidance during the 2013 colorado front-range floods,10.1175/MWR-D-14-00007.1
Roles of an atmospheric river and a cutoff low in the extreme precipitation event in hiroshima on 19 august 2014,10.1175/MWR-D-15-0299.1
Comments on ``double impact: when both tornadoes and flash floods threaten the same place at the same time,10.1175/WAF-D-16-0116.1
Reply to ``comments on `double impact: when both tornadoes and flash floods threaten the same place at the same time',10.1175/WAF-D-16-0151.1
How individuals process nws weather warning messages on their cell phones,10.1175/WCAS-D-12-00031.1
Social and hydrological responses to extreme precipitations: an interdisciplinary strategy for postflood investigation,10.1175/WCAS-D-13-00009.1
A review of people's behavior in and around floodwater,10.1175/WCAS-D-14-00030.1
"Urban area response to flash flood-triggering rainfall, featuring human behavioral factors: the case of 22 october 2015 in attica, greece",10.1175/WCAS-D-16-0068.1
"Disaster-related psychiatric disorders among survivors of flooding in ladakh, india",10.1177/0020764012440677
"Climate-related natural disasters, economic growth, and armed civil conflict",10.1177/0022343311426167
Hydro-geomorphic response models for burned areas and their applications in land management,10.1177/0309133313508802
An epidemiologic study of posttraumatic stress disorder in flood victims in hunan china,10.1177/070674370605100603
Reconstruction of flash flood victims lost residence utilizing lightweight sandwich composite technology,10.1177/0731684411430870
"Reconstruction of flash flood victims lost residence utilizing lightweight sandwich composite technology (vol 31, pg 41, 2012)",10.1177/0731684412437633
Flood risk in unplanned settlements in lusaka,10.1177/0956247807082835
Flash flooding as a threat to settlements even in remote areas,10.1177/0956247816672158
Strategy for assessment of disaster risk using typhoon hazards modeling based on chlorophyll-a content of seawater,10.1186/S13638-018-1293-0
"Impact of landslides induced by the 2018 palu earthquake on flash flood in bangga river basin, sulawesi, indonesia",10.12911/22998993/116325
Assessing nature-based and classical engineering solutions for flood-risk reduction in urban streams,10.12911/22998993/116349
"Hurricane hazel: disaster relief, politics, and society in canada, 1954-55",10.1353/JCS.2007.0011
Characteristic analysis of multicell convective system that occurred on 6 august 2013 over the korean peninsula,10.14191/ATMOS.2016.26.2.321
Exploring the status of community information and training for disaster preparation and mitigation practices: an appraisal of 2013 flash flood in uttarakhand,10.1504/IJEM.2019.099373
Qualitative study of disaster preparedness in an indonesian village: interviews with survivors of flash flooding near bandung,10.1515/MGRSD-2017-0028
Increased vulnerability to wildfires and post fire hydro-geomorphic processes in portuguese mountain regions: what has changed?,10.1515/OPAG-2017-0008
A preliminary look at using rainfall average recurrence interval to characterize flash flood events for real-time warning forecasting,10.15191/NWAJOM.2018.0602
"The necessity of integration of flood risk reduction strategies with spatial planning decisions in turkey, by comparing exemplary practices in developed countries",10.15320/ICONARP.2019.70
"Disaster risks in peri-urban areas of the great metropolitan area -past and recent considerations: guidelines and real scopes of risk management and land-use planning, aserri, alajuelita, desamparados, escazu, santa ana and mora cantons",10.15359/RGAC.60-1.8
Loss and damage affecting the public health sector and society resulting from flooding and flash floods in brazil between 2010 and 2014-based on data from national and global information systems,10.1590/1413-81232015213.19922015
Impact of earthquake-induced-landslides on hydrologic response of a steep mountainous catchment: a case study of the wenchuan earthquake zone,10.1631/JZUS.A1400039
Climate change in a small transboundary tributary of the syr darya calls for effective cooperation and adaptation,10.1659/MRD-JOURNAL-D-11-00127.1
Community response to climatic hazards in northern pakistan,10.1659/MRD.0947
"Flash flood control works around the maracana stadium district in rio de janeiro, brazil",10.1680/CIEN.13.00009
Environmental geotechnology: an indian perspective,10.1680/ENVGEO.14.00047
Modelling flash flood risk in urban areas,10.1680/WAMA.2011.164.6.267
"Conservation of damage to library materials caused by flooding, and proposed preventive measures",10.17018/PORTAL.2018.9
Causes and consequences of a flood wave on the lower reach of the dyje river near breclav,10.17221/32/2010-SWR
Flood risk management: implementation of the european directive 2007/60/ec in the autonomous region of madeira,10.18055/FINIS15157
Exceptional flash floods in the uz hydrographic basin - causes and consequences,10.18509/GBP.2016.05
"Identifying flood-prone risk areas, using gis. Case study: ozana drainage basin, romania",10.18509/GBP.2018.58
Effectiveness of the submersible embankment in haor area in bangladesh,10.20965/JDR.2018.P0780
Risc-kit: resilience-increasing strategies for coasts - toolkit,10.2112/SI70-062.1
Engineering and environmental geology of granada and its metropolitan area (spain),10.2113/GSEEGEOSCI.18.3.217
High resolution radar quantitative precipitation estimation in the san francisco bay area: rainfall monitoring for the urban environment,10.2151/JMSJ.2018-016
Cause analysis for a new type of devastating flash flood,10.2166/NH.2019.091
Flood disasters - a global perspective,10.2166/WP.2015.001
"Lessons learned from the big floods, 1999-2013: the bavarian flood action programme 2020plus",10.2166/WP.2015.007
"Flood prevention dams for arid regions at a micro-scale sub-catchment, case study: tabuk, saudi arabia",10.2166/WST.2016.341
"Heavy rainfall characteristics at south-west of mt. Merapi- yogyakarta and central java province, indonesia",10.21660/2018.45.27559
The characteristics of road inundation during flooding events in peninsular malaysia,10.21660/2019.54.4827
Challenges to deal with climate change: analysis of flash flood risk perception,10.23923/PAP.PSICOL2019.2903
"Post-disaster recovery is a marathon, not a sprint the need for a state-sponsored recovery scheme",10.24135/PJR.V24I1.402
Reservoir's geometry impact of three dimensions on peak discharge of dam-failure flash flood,10.24200/SCI.2017.4467
"A geospatial approach to flash flood hazard mapping in the city of warangal, telangana, india",10.2478/ENVIRON-2019-0013
The analysis of the flash flood produced during 02-04.06.2016 in the trotus river basin (romania),10.2478/PESD-2018-0014
Mechanical and fluid-dynamic behaviour of debris and hyper-concentrated flows: overview and challenges,10.2495/DEB100011
From hazard reduction to integrated risk management: toward adaptive flood prevention in europe,10.2495/FRIAR080111
Assessment of damages caused by different flood types,10.2495/FRIAR100011
Benefits of local structural protection to mitigate torrent-related hazards,10.2495/RISK080391
"Low-impact development: minimising stormwater runoff in a case study of section 13, shah alam, malaysia",10.2495/WRM170201
Assessment of torrential flood susceptibility using gis matrix method: case study - vrbas river basin (b\&h),10.26471/CJEES/2018/013/032
"Risk scenarios for flash-floods in the rural area generated by combined hazard, technologic and natural",10.26471/CJEES/2019/014/070
"Investigating the role of green infrastructure in sustainable urban water management, a case study in szeged",10.26471/CJEES/2019/014/097
Urban flash flood in gdansk - 2001. Case study,10.26491/MHWM/64636
The september 2017 flood in elblag (poland) in perspective,10.26491/MHWM/92406
"Damage caused by typhoon-induced lahar flows from mayon volcano, philippines",10.3208/SANDF.47.1123
Multiple risk assessment for various natural hazards for georgia,10.3233/978-1-58603-948-6-11
Flash floods in torrential basins: the event of october 14th-15th 2015 in the surroundings of benevento (southern italy),10.3301/ROL.2016.111
"Analysis of increasing flash flood frequency in the densely urbanized coastline of the campi flegrei volcanic area, italy",10.3389/FEART.2018.00063
"Analysis of increasing flash flood frequency in the densely urbanized coastline of the campi flegrei volcanic area, italy (vol 6, pg 63, 2018)",10.3389/FEART.2018.00092
Farmers' net income distribution and regional vulnerability to climate change: an empirical study of bangladesh,10.3390/CLI6030065
"Perceptions, knowledge and adaptation about climate change: a study on farmers of haor areas after a flash flood in bangladesh",10.3390/CLI7070085
The rainbo platform for enhancing urban resilience to floods: an efficient tool for planning and emergency phases,10.3390/CLI7120145
"Impacts of triple factors on flash flood vulnerability in egypt: urban growth, extreme climate, and mismanagement",10.3390/GEOSCIENCES10010024
Identifying the risk areas and urban growth by arcgis-tools,10.3390/GEOSCIENCES6040047
Fatalities caused by hydrometeorological disasters in texas,10.3390/GEOSCIENCES8050186
Risk-based early warning system for pluvial flash floods: approaches and foundations,10.3390/GEOSCIENCES9030127
Farmers' responses to changing hydrological trends in the niger basin parts of benin,10.3390/HYDROLOGY4040052
Flash flood impact assessment in jeddah city: an analytic hierarchy process approach,10.3390/HYDROLOGY7010010
"Factors increasing vulnerability to health effects before, during and after floods",10.3390/IJERPH10127015
"Disaster risk resilience in colima-villa de alvarez, mexico: application of the resilience index to flash flooding events",10.3390/IJERPH16122128
Microbiological assessment of tap water following the 2016 louisiana flooding,10.3390/IJERPH17041273
"A conceptual flash flood early warning system for africa, based on terrestrial microwave links and flash flood guidance",10.3390/IJGI3020584
Prototype of a web-based participative decision support platform in natural hazards and risk management,10.3390/IJGI4031201
The impact of the parameterisation of physiographic features of urbanised catchment areas on the spatial distribution of components of the water balance using the wetspass model,10.3390/IJGI7070278
A robust early warning system for preventing flash floods in mountainous area in vietnam,10.3390/IJGI8050228
A gis-based support vector machine model for flash flood vulnerability assessment and mapping in china,10.3390/IJGI8070297
Integrated hazard modeling for simulating torrential stream response to flash flood events,10.3390/IJGI9010001
A citizen-contributed gis approach for evaluating the impacts of land use on hurricane-harvey-induced flooding in houston area,10.3390/LAND8020025
"A multi-platform hydrometeorological analysis of the flash flood event of 15 november 2017 in attica, greece",10.3390/RS11010045
"Flood hazard mapping and assessment on the angkor world heritage site, cambodia",10.3390/RS11010098
"Flash flood risk analysis based on machine learning techniques in the yunnan province, china",10.3390/RS11020170
Remote sensing-based quantification of the impact of flash flooding on the rice production: a case study over northeastern bangladesh,10.3390/S17102347
"How to improve fault tolerance in disaster predictions: a case study about flash floods using iot, ml and real data",10.3390/S18030907
"Understanding the implementation challenges of urban resilience policies: investigating the influence of urban geological risk in thessaloniki, greece",10.3390/SU10103573
A vulnerability assessment of urban emergency in schools of shanghai,10.3390/SU11020349
A method for urban flood risk assessment and zoning considering road environments and terrain,10.3390/SU11102734
The spatiotemporal distribution of flash floods and analysis of partition driving forces in yunnan province,10.3390/SU11102926
The role of hazard and vulnerability in modulating economic damages of inland floods in the united states using a survey-based dataset,10.3390/SU11133754
Land-use and legislation-based methodology for the implementation of sustainable drainage systems in the semi-arid region of brazil,10.3390/SU12020661
"Exposure to geo-hydrological hazards of the metropolitan area of genoa, italy: a multi-temporal analysis of the bisagno stream",10.3390/SU12031114
"Implementation of nature-based solutions for hydro-meteorological risk reduction in small mediterranean catchments: the case of portofino natural regional park, italy",10.3390/SU12031240
Driving force analysis of the temporal and spatial distribution of flash floods in sichuan province,10.3390/SU9091527
"Recent progress in low-impact development in south korea: water-management policies, challenges and opportunities",10.3390/W10040435
Meteorological driving mechanisms and human impacts of the february 1979 extreme hydro-geomorphological event in western iberia,10.3390/W10040454
Characterizing the flash flooding risks from 2011 to 2016 over china,10.3390/W10060704
Application of bayesian approach to dynamic assessment of flood in urban underground spaces,10.3390/W10091112
Evaluation of various probability distributions for deriving design flood featuring right-tail events in pakistan,10.3390/W10111603
Real-time urban inundation prediction combining hydraulic and probabilistic methods,10.3390/W11020293
"A simple early warning system for flash floods in an ungauged catchment and application in the loess plateau, china",10.3390/W11030426
"The association between hydro-meteorological events and leptospirosis hospitalizations in santa catarina, brazil",10.3390/W11051052
Flood forecasting and warning system structures: procedure and application to a small urban stream in south korea,10.3390/W11081571
"Flood fatalities in europe, 1980-2018: variability, features, and lessons to learn",10.3390/W11081682
"Flood risk assessment of the wadi nu'man basin, mecca, saudi arabia (during the period, 1988-2019) based on the integration of geomatics and hydraulic modeling: a case study",10.3390/W11091887
"Flash flood risk perception by the population of mindelo, s. Vicente (cape verde)",10.3390/W11091895
Potential of documentary evidence to study fatalities of hydrological and meteorological events in the czech republic,10.3390/W11102014
Mapping flood-related mortality in the mediterranean basin. Results from the meff v2.0 db,10.3390/W11102196
"Flood inundation mapping at ungauged basins using coupled hydrometeorological-hydraulic modelling: the catastrophic case of the 2006 flash flood in volos city, greece",10.3390/W11112328
Analysis of flood fatalities-slovenian illustration,10.3390/W12010064
"A comparative study of kernel logistic regression, radial basis function classifier, multinomial naive bayes, and logistic model tree for flash flood susceptibility mapping",10.3390/W12010239
Framework of national non-structural measures for flash flood disaster prevention in china,10.3390/W4010272
"International severe weather and flash flood hazard early warning systems-leveraging coordination, cooperation, and partnerships through a hydrometeorological project in southern africa",10.3390/W8060258
"Impact of climate change on runoff in the gilgel abbay watershed, the upper blue nile basin, ethiopia",10.3390/W8090380
Exploring jeddah floods by tropical rainfall measuring mission analysis,10.3390/W9080612
Measuring recovery to build up metrics of flood resilience based on pollutant discharge data: a case study in east china,10.3390/W9080619
`shelter-in-place' vs. Evacuation in flash floods,10.3763/EHAZ.2009.0022
A gis-based procedure for measuring the efects of the built environment on urban flash floods,10.3992/JGB.11.3.110.1
A place for smartphone technologies and digital social networks (rsn) in institutional flood warning systems in france?,10.4000/CYBERGEO.27875
