"Hydrological application of radar rainfall nowcasting in the netherlands","10.1016/J.ENVINT.2019.105431"
"Reaffirm: real-time assessment of flash flood impacts - a regional high-resolution method","10.1016/J.ENVINT.2019.105375"
"Orographic controls on subdaily rainfall statistics and flood frequency in the colorado front range, usa","10.1029/2019GL085086"
"Vulnerability assessment of flash floods in wadi dahab basin, egypt","10.1007/S12665-020-8860-5"
"A 2d hydrodynamic model for shallow water flows with significant infiltration losses","10.1002/HYP.13722"
"The sedimentology of an ephemeral fluvial-aeolian succession","10.1111/SED.12706"
"Flash flood potential prioritization of sub-basins in an ungauged basin in turkey using traditional multi-criteria decision-making methods","10.1007/S00500-020-04792-0"
"Aquatic community structure as sentinel of recent environmental changes unraveled from lake sedimentary records from the atacama desert, chile","10.1371/JOURNAL.PONE.0229453"
"An aggregated statistical approach for network flood detection using gamma-normal mixture modeling","10.1016/J.COMCOM.2020.01.028"
"Hydrography and geomorphology of antananarivo high city (madagascar)","10.1080/17445647.2020.1721343"
"Trends in extreme rainfall and hydrogeometeorological disasters in the metropolitan area of sao paulo: a review","10.1111/NYAS.14307"
"Application of logistic regression to simulate the influence of rainfall genesis on storm overflow operations: a probabilistic approach","10.5194/HESS-24-595-2020"
"Impact of headwater hydrological deficit on the downstream flood-based farming system in northern ethiopia","10.1002/IRD.2413"
"Causes and impacts of flash floods: case of gabes city, southern tunisia","10.1007/S12517-020-5149-7"
"Evaluation of two hydrometeorological ensemble strategies for flash-flood forecasting over a catchment of the eastern pyrenees","10.5194/NHESS-20-425-2020"
"Geoarcheomorphosites under strong urbanization pressure at the tineh plain, ne of the nile delta, egypt","10.1007/S12371-020-00444-9"
"Runoff reaction from extreme rainfall events on natural hillslopes: a data set from 132 large-scale sprinkling experiments in south-western germany","10.5194/ESSD-12-245-2020"
"Flood risk assessment based on fuzzy synthetic evaluation method in the beijing-tianjin-hebei metropolitan area, china","10.3390/SU12041451"
"Role of westerly jet in torrential rainfall during monsoon over northern pakistan","10.1029/2019EA001022"
"Exposure to geo-hydrological hazards of the metropolitan area of genoa, italy: a multi-temporal analysis of the bisagno stream","10.3390/SU12031114"
"Bayesian lifetime analysis for landslide dams","10.1007/S10346-020-01388-5"
"Remote-sensing monitoring of a cloudburst event in north india","10.1080/2150704X.2020.1723170"
"Assessment and management of water resources in wadi el-deeb using geophysical, hydrological and gis techniques-red sea","10.1016/J.JAFREARSCI.2020.103777"
"Reliability check of flash-flood in central bohemia on may 25, 1872","10.1016/J.GLOPLACHA.2019.103094"
"Reconstruction of a flash flood event using a 2d hydrodynamic model under spatial and temporal variability of storm","10.1007/S11069-020-03891-3"
"A fiber bragg grating water level sensor based on the force of buoyancy","10.1109/JSEN.2019.2960089"
"An early cretaceous (berriasian) fossil-bearing locality from the rocky mountains of alberta, yielding the oldest dinosaur skeletal remains from western canada","10.1139/CJES-2019-0166"
"Probabilistic high-impact rainfall forecasts from landfalling tropical cyclones using warn-on-forecast system","10.1002/QJ.3779"
"Synoptic analysis and mesoscale numerical modelling of heavy precipitation: a case study of flash flood event in kota kinabalu, malaysia","10.1007/S00703-019-00682-9"
"Integration of landslide hazard into urban planning across europe","10.1016/J.LANDURBPLAN.2019.103740"
"Comparative assessment of the flash-flood potential within small mountain catchments using bivariate statistics and their novel hybrid integration with machine learning models","10.1016/J.SCITOTENV.2019.134514"
"Flash-flood hazard assessment using ensembles and bayesian-based machine learning models: application of the simulated annealing feature selection method","10.1016/J.SCITOTENV.2019.135161"
"Climate change vulnerability of rural households in flood-prone areas of himalayan foothills, west bengal, india","10.1007/S10668-020-00687-0"
"Reconstructing the 2015 salgar flash flood using radar retrievals and a conceptual modeling framework in an ungauged basin","10.5194/HESS-24-1367-2020"
"Responses of streambed bacterial groups to cycles of low-flow and erosive floods in a small peri-urban stream","10.1002/ECO.2206"
"Radar-based characterisation of heavy precipitation in the eastern mediterranean and its representation in a convection-permitting model","10.5194/HESS-24-1227-2020"
"Lacustrine record of high magnitude flood events and climate variability during mid to late holocene in the semiarid alluvial plains, western india","10.1016/J.PALAEO.2019.109581"
"A unified framework for the assessment of multiple source urban flash flood hazard: the case study of monza, italy","10.1080/1573062X.2020.1734950"
"Assessing flash flood hazard and damages in the southeast united states","10.1111/JFR3.12605"
"Improving flood forecasting using an input correction method in urban models in poorly gauged areas","10.1080/02626667.2020.1729984"
"An approach for flood assessment by numerical modeling of extreme hydrological events in the zat watershed (high atlas, morocco)","10.1080/1573062X.2020.1734946"
"Challenges of value chain actors for vegetable production and marketing in north-east bangladesh","10.1007/S10708-020-10170-Y"
"Persiann dynamic infrared-rain rate model (pdir) for high-resolution, real-time satellite precipitation estimation","10.1175/BAMS-D-19-0118.1"
"Frequency of boulders transport during large floods in hyperarid areas using paleoflood analysis - an example from the negev desert, israel","10.1016/J.EARSCIREV.2020.103086"
"Geocellular railway drainage systems: physical and numerical modelling","10.1016/J.TRGEO.2019.100299"
"The key role of hazard indices and hotspot in disaster risk management: the case study of napoli and pozzuoli municipalities (southern italy)","10.1080/17445647.2019.1698472"
"Environmental sensitivity of flash flood hazard using geospatial techniques","10.22034/GJESM.2020.01.03"
"Connecting flash flood events with radar-derived convective storm characteristics on the northwestern mediterranean coast: knowing the present for better future scenarios adaptation","10.1016/J.ATMOSRES.2020.104863"
"Variation of hydro-environment during past four decades with underground sponge city planning to control flash floods in wuhan, china: an overview","10.1016/J.UNDSP.2019.01.003"
"Flash flood reconstruction in the eastern mediterranean: regional tree ring-based chronology and assessment of climate triggers on the island of crete","10.1016/J.JARIDENV.2020.104135"
"Tree-ring based, regional-scale reconstruction of flash floods in mediterranean mountain torrents","10.1016/J.CATENA.2020.104481"
"An approximation method for evaluating flash flooding mitigation of sponge city strategies - a case study of central geelong","10.1016/J.JCLEPRO.2020.120525"
"Historical and present-day human impact on fluvial systems in the old-polish industrial district (poland)","10.1016/J.GEOMORPH.2020.107062"
"Performance of five high resolution satellite-based precipitation products in arid region of egypt: an evaluation","10.1016/J.ATMOSRES.2019.104809"
"Global rheophytes data set: angiosperms and gymnosperms","10.1002/ECY.3056"
"Wrf-hydro model application in a data-scarce, small and topographically steep catchment in samsun, turkey","10.1007/S13369-019-04251-5"
"Assessment of flash flood risk based on improved analytic hierarchy process method and integrated maximum likelihood clustering algorithm","10.1016/J.JHYDROL.2020.124696"
"Urban flash flood index based on historical rainfall events","10.1016/J.SCS.2020.102088"
"Morphological and sedimentological responses of small stream channels to extreme rainfall and land use in the darjeeling himalayas","10.1016/J.CATENA.2019.104444"
"Mapping rainstorm erosion associated with an individual storm from insar coherence loss validated by field evidence for the atacama desert","10.1002/ESP.4868"
"Drivers of variability in large wood loads along the fluvial continuum of a mediterranean intermittent river","10.1002/ESP.4865"
"Urban flood inundation and damage assessment based on numerical simulations of design rainstorms with different characteristics","10.1007/S11431-019-1523-2"
"Analysis of the observed trends in daily extreme precipitation indices in gaza strip during 1974-2016","10.1002/JOC.6576"
"Human responses to climate and ecosystem change in ancient arabia","10.1073/PNAS.1920211117"
"Flash floods versus river floods - a comparison of psychological impacts and implications for precautionary behaviour","10.5194/NHESS-20-999-2020"
"Molecular mechanisms and future improvement of submergence tolerance in rice","10.1007/S11032-020-01122-Y"
"Catchment-scale multi-process modeling with local time stepping","10.1007/S12665-020-08914-7"
"Effectiveness of flood early warning system from the perspective of experts and three affected communities in urban areas of pakistan","10.1080/17477891.2020.1751031"
"Identification of areas prone to flash-flood phenomena using multiple-criteria decision-making, bivariate statistics, machine learning and their ensembles","10.1016/J.SCITOTENV.2019.136492"
"Near-real-time spatiotemporal analysis of convection and extreme rainfall leading to a flash flood using msg-seviri and trmm data: a case study of a flash flood in jeddah, saudi arabia on the november 25, 2009","10.1111/JFR3.12611"
"NA",NA
"Mesoscale convective systems and floods: a review",NA
"Geoenvironmental problems of the glacial belt of bhutan higher himalaya and remedial measures: a case study of raphstreng lake in lunana area",NA
"The role of dual cold fronts aloft in a major tornado and flash flooding event",NA
"Relationships between tropical cyclone attributes and precipitation totals: considerations of scale",NA
"Flash floods in the caribbean: environmental conditions and mitigation",NA
"Resonance of scales as a condition for flash floods on a regional domain",NA
"The effectiveness of engineering geology in coping with flash floods: a systems approach",NA
"Ranking flash flood warnings: a better way to relate threat to the public?",NA
"Features of flash floods within plain and mountain territory of ukraine",NA
"The processes of overgrowing with plants the gravel heaps formed after flash flood of 1997 in the babiogorski national park. Preliminary studies",NA
"Fount of life - even now, flash floods may be carving channels on mars",NA
"Prediction and mitigation of flash floods (adopted by the ams council on 14 february 2000)",NA
"The assessment of water resources in wadi watir basin, sinai by remote sensing and environmental isotopes",NA
"Using a high-resolution mesoscale coupled model to simulate the 1996 buffalo creek flash-flood event",NA
"A prototype operational 0-1 hour radar-based flash flood potential algorithm",NA
"The hydrometeorological forecast and the management of edf electricity production structures in case of flood: the example of the floods of february and may 1999 on the rhine river","10.1051/LHB/2000035"
"Monsoonal influences on a mesoscale convective system over midlatitude south australia","10.1007/S007030070026"
"Water resources management in seasonal wetlands of north-east bangladesh",NA
"Mapping the course of satellite precipitation estimates for flash floods into the 21st century",NA
"Flash flood.",NA
"Hydroclimatic response of the river tet (southern france) to recent temperature increase",NA
"Flash floods and heavy rain events in catalonia: analysis of the 1996-2000 period",NA
"The agly river: long-term evolution and present fluvial dynamics of a coastal stream","10.1051/LHB/2003104"
"Discussion on measures to regulate dangerous works of bank failure of yihe and shuhe rivers",NA
"Simulations of ``the historic southeast louisiana and southern mississippi flood activity during may 8-10th, 1995 to build a prototype gis/rs based eraisa (environmental risk assessment integrative systems approach) for gulf coastal states of the united states",NA
"Soil moisture, land-atmosphere interaction, and the 6-7 may 2000 missouri flash flood event",NA
"Flash flood forecast hydrological model",NA
"The catastrophic flood event of the 18(th) of october, 1973, in the rambla of albunol (la rabita, granada, spain)",NA
"Using the new generation of flash flood warning tools.",NA
"Some common ingredients for heavy orographic rainfall and their potential application for prediction",NA
"Precipitation efficiency aspects of flash flood producing mcss",NA
"The flood in carlsbad (bohemia) on 9 may 1582: its causes, damages and response",NA
"The oklahoma tornado outbreak and flash flood event of 4-5 october 1998",NA
"Flood events in the llobregat basin: a comparison between the flash flood of june 2000 and events that have occurred since the 14(th) century",NA
"The october 3-4 2000 heavy precipitation/flash flood event across south florida",NA
"A new flash flood action paradigm",NA
"Decision support system for flood warning in urban areas",NA
"Evaluation of the areal mean basin estimated rainfall (amber) flash flood algorithm at the tulsa, ok and sterling, va nwsfos",NA
"Impact of soil moisture initialization on a simulated flash flood",NA
"Soil moisture observations for flash flood research and prediction",NA
"Heavy rainfall effects in mexico during early october 1999",NA
"An amber playback of the kansas city, missouri flash flood of 05 october 1998",NA
"Watershed modeling with hec-hms (hydrologic engineering centers-hydrologic modeling system) using spatially distributed rainfall",NA
"Flash flood mitigation in uganda, equatorial east africa",NA
"A hydro-social modeling approach for flash flooding alleviation",NA
"A real-time flood forecasting system based on gis and dem",NA
"The flash flood laboratory at colorado state university's cooperative institute for research in the atmosphere",NA
"Warning systems for flash floods: research needs, opportunities and trends",NA
"Us flash flood warning dissemination via radio and television",NA
"Measures and solutions for flood management local case - flash flood in gdansk 2001",NA
"Field experience with large nickel metal hydride (nimh) batteries in stationary applications",NA
"Management strategies for flash floods in saxony, germany",NA
"Ma'rib dam and irrigation project - a wonder in the desert","10.1680/CIEN.2005.158.4.170"
"Gandak fan - a macro quaternary feature of middle ganga plain, uttar pradesh and bihar",NA
"Flash floods forecasting strategies and operative tools","10.1051/LHB:200501004"
"Advanced hydraulics simulation using artificial neural networks - integration with numerical model",NA
"Cloning of new genes from flash flood-tolerant rice cultivars induced by flash flood and their expression by several environmental stresses",NA
"The satellite-derived hydro-estimator and hydro-nowcaster for mesoscale convective systems and landfalling tropical systems","10.1117/12.577850"
"Securing hybrid wired/mobile ip networks from tcp-flooding based denial-of-service attacks",NA
"Simulation of the 1994 flood event in giofyros poorly gauged basin in crete",NA
"The 8-9 september 2002 rain event in the gard region, france: rainfall estimation using radar and rain gauge observations","10.1051/LHB:200406013"
"A congestion-aware search protocol for unstructured peer-to-peer networks",NA
"Some aspects of sustainable ground water development in south asia","10.1201/9781439833858.CH5"
"Ashland creek - embracing human amenity needs in urban stream restoration design",NA
"Formulating global precipitation measurement (gpm)","10.1117/12.511540"
"Crisis intervention - psychological care for the saxony flash flood in the case of muldentalkreis (grimma)",NA
"Weather radar distributed hydrological modelling: a case study in the indus basin",NA
"A flash flood forecast model for the three gorges basin using gis and remote sensing data",NA
"Evaluation of some rapid flood forecast models: topmodel \& marine",NA
"The effects of radar-derived rainfall uncertainties on forecasts from a distributed hydrological model",NA
"The bauru flash flood of 8 february 2001 and options for improved warnings",NA
"Visual user interface for pdas","10.1109/IV.2003.1217951"
"Evaluation of dual polarization radar for rainfall-runoff modelling: a case study in sydney, australia",NA
"Remote sensing and gis for regional environmental applications","10.1117/12.463316"
"Floods in may and june 2010 in the territory of the morava river basin",NA
"Post-processing and forecasts updating in automated systems of flash flood forecasting","10.3103/S1068373909080093"
"Flash floods in texas","10.1093/ENVHIS/14.2.387"
"Design of expert system for catastrophe response-case study : northern tehran flash flood",NA
"Virtual nature systems for management of urban disasters",NA
"Street corners: real-time contextual representation of sensor network data for environmental trend identification","10.1109/WAINA.2009.67"
"Can understanding backwater effects help us to prepare for and manage deluges?",NA
"Flash floods due to glacier lake outburst floods in the mountainous regions of nepal: a case study of kawache glacier lake outburst flood",NA
"The improving of ike with psk for using in mobile computing environments","10.1109/IAS.2009.117"
"New system to forecast flash floods",NA
"The psychosocial impact of flash flooding: a qualitative study with residents in the uk midlands",NA
"Joint application and network defense against ddos flooding attacks in the future internet",NA
"A method of run-time detecting ddos attacks",NA
"Modelling muddy flash floods and debris flows",NA
"Modeling and real time flash flood forecasting in a mediterranean basin",NA
"Analysis on causes/evolution of floods over the songhua main stream basin and the properties of the 1998 deluge over the song-nen plain","10.1117/12.794702"
"Reply to ``comment on `investigation of the hydrodynamics of flash floods in ephemeral channels: scaling analysis and simulation using a shock-capturing flow model incorporating the effects of transmission losses' by s.m. Mudd, 2006 (journal of hydrology) 324, 65-79 by cao and yue","10.1016/J.JHYDROL.2006.11.008"
"Simulation of minimal infrastructure short-range radar networks","10.1109/IGARSS.2007.4423408"
"Issues in the forecast and management of natural floods and flash floods","10.1051/LHB:2007032"
"Impact of integrated nitrogen and phosphorus management on performance of direct-sown rice (oryza sativa) under flood-prone lowland situations",NA
"Globe students in sunland park, new mexico study satellite images to decipher august 2006 flood damage","10.1109/IGARSS.2007.4423275"
"Physiological responses of saligbeli ((oryza glaberrima steud.) To flash floods at young seedling stage.",NA
"Land degradation management in southern africa","10.1007/978-3-540-72438-4\_27"
"Categorization of web pages based on hsmm for detecting ddos attacks",NA
"Preliminary hydrogeologic investigations of nubia sandstone and fractured basement aquifers in the area between el shalateen and halayeb, eastern desert, egypt","10.1007/3-540-28367-6\_63"
"Flash floods forecasting in a karstic basin using neural networks: the case of the lez basin (south of france)",NA
"Representation of build-up area in numerical calculation of urban flooding",NA
"Integrated modeling of flood forecasting and multi-reservoir-based operation in the yellow river basin, china",NA
"Historical stone arch bridges under horizontal debris flow impact",NA
"Fuzzy model use for evaluation of peak outflow from a river basin during flash flood",NA
"Flash flood",NA
"Quantifying catchment-scale storm motion and its effects on flood response",NA
"When and how to decide the evacuation of a major city (like orleans-france) before a major flood breaches the dikes","10.1051/LHB/2011029"
"On flash flood in santa fe, november 20, 2010",NA
"Diagnostic analysis of the quasi-balanced flow of a mesoscale vortex during the 12 june 2008 guangxi rainstorm","10.1007/S13351-011-0026-7"
"Operational needs and current improvements in terms of knowledge of physical processes in flood hydrology","10.1051/LHB/2011001"
"Local effects on the water balance in flood plains induced by dam filling in mediterranean environments","10.1117/12.897613"
"A dam equipped with labyrinth spillway in the sultanate of oman",NA
"Novel in-situ method for fast determination of bridge pier displacements during push-over tests","10.1117/12.912834"
"Study of impacts of floods on the water quality in an arid zone: the case of the tarim river in northwest china","10.2166/WST.2011.778"
"Multi-decadal fluvio-geomorphological and bankline changes of the ganga river around ballia and rudrapur using remote sensing and gis techniques",NA
"Coupling effect diagnoses of quasi-stationary mesoscale vortex in guangxi rainstorm process of china","10.1007/S13143-011-1002-Y"
"Monitoring severe weather in ukraine with satellite data","10.1007/978-90-481-9618-0\_5"
"Optically stimulated luminescence characteristics of modern flash-flood deposits in small mountain catchments","10.1080/00387010.2011.610416"
"Identification of circulation patterns producing flash floods over south-west of iran",NA
"Rapid floods in the urban areas: the case ofsacavem",NA
"Wetlands, temporary waters and saline lakes",NA
"Mechanical and fluid-dynamic behaviour of debris and hyper-concentrated flows: overview and challenges","10.2495/DEB100011"
"Diagnosing indicators of large-scale forcing of east-coast cyclogenesis","10.1088/1755-1315/11/1/012003"
"Moving substrate in an ephemeral stream case study in bridge survival","10.3141/2201-01"
"Flash flood",NA
"Reconstruction of flash flood victims lost residence utilizing lightweight sandwich composite technology (vol 31, pg 41, 2012)","10.1177/0731684412437633"
"Probabilistic neural network based attack traffic classification",NA
"Extreme weather: a guide to surviving flash floods, tornadoes, hurricanes, heat waves, snowstorms, tsunamis and other natural disasters",NA
"Operational use of nowcasting methods for hydrological forecasting by the czech hydrometeorological institute",NA
"Hydrological and hydraulic characterization in semi arid zones. Analysis of model type, basin size and sediment transport formulae",NA
"Improvement of rainfall-runoff modelling with distributed radar rainfall data: a case study in the lez, french mediterranean, catchment",NA
"Detecting surface flow concentrations using a cellular automaton metric: a new way of detecting potential impacts of flash floods in dry valleys",NA
"Analysis of a scheme to dynamically model the orographic enhancement of precipitation in the uk",NA
"On the accuracy of the past, present, and future tools for flash flood prediction in the usa",NA
"Characterization of a condenser for a high performance multi - condenser loop heat pipe",NA
"Some considerations on reproducing flash floods using one water stage hydrograph at one site",NA
"Study on method of flash flood warning in lack-data watershed",NA
"An evaluation methodology against rural infrastructure emergency management caused by debris flow based on gis",NA
"Research on the modal analysis and reinforcement of suspension line old bridge","10.4028/WWW.SCIENTIFIC.NET/AMR.446-449.1225"
"Comment on ``geomorphic hazards and intense rainfall: the case study of the recco stream catchment (eastern liguria, italy) by faccini et al. (2012)","10.5194/NHESS-12-3169-2012"
"Assessment of water logged cables by very low frequency tan delta testing technique",NA
"Simultaneous measurements of precipitation using s-band and c-band polarimetric radars",NA
"Buoyant fluorescent particles as a novel sensing technology for field observations of water flows",NA
"Rainwater harvesting in a common pool resource, an engineering perspective",NA
"Research of critical precipitation distribution in sichuan province based on spatial interpolation method","10.4028/WWW.SCIENTIFIC.NET/AMR.726-731.3469"
"Field survey and numerical modeling of hillslope hydrological processes over a headwater catchment in hong kong, china",NA
"A two-tier solution for disaster relief management",NA
"Numerical simulation of a heavy rainfall event over portugal using mesoscale model",NA
"Rocs: a tool for rapid overload control simulation","10.1002/BLTJ.21524"
"Proposal of a distributed cooperative m2m system for flood disaster prevention","10.1109/UIC-ATC-SCALCOM.2014.51"
"Cornstarch effect: intensifying flow resistance for increasing ddos attacks in autonomous overlays",NA
"Dem construction using dinsar","10.5194/ISPRSARCHIVES-XL-8-817-2014"
"A novel approach to urban flood monitoring using computer vision",NA
"Glof study in tawang river basin, arunachal pradesh, india","10.5194/ISPRSARCHIVES-XL-8-101-2014"
"Analysis of debris flow kuranji river in padang city using rainfall data, remote sensing and geographic information system","10.1088/1755-1315/18/1/012122"
"Investigation of flood pattern using anova statistic and remote sensing in malaysia","10.1088/1755-1315/20/1/012030"
"Study of urban flood control planning in taiyuan","10.4028/WWW.SCIENTIFIC.NET/AMR.838-841.1709"
"Triggering upstream channel incision in the fluvial systems of the trunk valley of wadi watir drainage basin, south sinai peninsula, egypt","10.1007/S12517-012-0663-X"
"Danger! Flash flood on its way",NA
"Synoptic study of extremely heavy rainfall events over lower yamuna catchment : some cases",NA
"Marker assisted selection for developing high yielding submergence tolerant rice (oryza sativa l.) Genotypes with slender grain","10.1556/CRC.2012.0022"
"Numerical weather models as virtual sensors to data-driven rainfall forecasts in urban catchments",NA
"Flash flood in a mountain stream with pulsed sediment input following an earthquake: case study of longxi river",NA
"First observations of the initial radar node in the puerto rico tropinet x-band polarimetric doppler weather testbed","10.1109/IGARSS.2013.6723287"
"Two-dimensional shallow water equations with porosity for urban flood modeling",NA
"Modelling and understanding multiple roles of sediment transport in floods",NA
"Modeling flash floods in vouraikos river mouth, greece",NA
"A case study on estimating the flood severity using flood hydrographs for small ungauged catchments in korea",NA
"A divide and conquer strategy for scaling weather simulations with multiple regions of interest","10.3233/SPR-130367"
"Operational sar data processing in gis environments for rapid disaster mapping",NA
"Implementing future climate change scenarios using a stormwater drainage model for an urban catchment in melbourne",NA
"Rare flashflood occurrence in the ashamba river and its impact on gelendzhik area",NA
"Real-time water level visualization with pervasive ic sensors","10.1109/NBIS.2013.73"
"Sm2d: a modular knowledge discovery approach applied to hydrological forecasting",NA
"Simulation of 2d surface flow in open channel using explicit finite difference method",NA
"A practical system for guaranteed access in the presence of ddos attacks and flash crowds","10.1109/ICNP.2015.11"
"Modeling high rainfall regions for flash flood nowcasting",NA
"High resolution x-band radar rainfall estimates for a mediterranean to hyper-arid transition area",NA
"Forest influence on flash floods in small streams",NA
"Researches concerning installing forest vegetation on degraded lands",NA
"Role of soil properties and precipitation concentration in enhancing floods in northern ghana",NA
"Using trmm precipitation products for flood estimation from tropical cyclones",NA
"Heavy rain and flash floods: implementation aspects in the practical design process",NA
"Microwave active sensors and river basin hydrology","10.1063/1.4912474"
"Rediscovery, distribution and conservation status of leptodermis riparia r. Parker (rubiaceae) in western himalaya, india","10.7751/TELOPEA8470"
"Discerning flooding attack from flash crowd based on traffic patterns using entropy detection method",NA
"Discerning flooding attack from flash crowd based on traffic patterns using entropy detection method",NA
"Influence of karstic system on surface flooding in mediterranean climate","10.1007/978-3-319-09054-2\_38"
"The impact of tungujei reservoir upon the hydrological regime in the sacova. River basin, eastern romania",NA
"Use of the radar and station precipitation measurement for analysis of orographic convection",NA
"Mobile bed simulations on river scouring and deposition - a case study of dajia river, taiwan",NA
"Energy aware flash flood monitoring stations using a ga-fuzzy logic control mechanism",NA
"Weather-climate interactions in the eastern antilles and the 2013 christmas storm","10.1175/EI-D-14-0011.1"
"Application of probabilistic precipitation forecasts from a deterministic model towards increasing the lead-time of flash flood forecasts in south africa","10.4314/WSA.V40I4.18"
"Invertebrate shells as pollution bio-indicators, gebel el-zeit area, gulf of suez,egypt",NA
"Morphological change on a wadi-influenced beach: essaouira, morocco",NA
"Geohazards in the east siang district of arunachal pradesh, india: need for geoethical approach for integrated flood mitigation strategies","10.1007/978-3-319-09303-1\_27"
"Flash flood warning system using scada system: laboratory level",NA
"Numerical modeling of complex solid-fluid flows with meshless methods",NA
"The development and application of small watershed hydrological telemetry system","10.4028/WWW.SCIENTIFIC.NET/AMR.834-836.947"
"Character and cause of flash flood in the upper reaches of min river after wenchuan earthquake",NA
"Ebmud walnut creek raw water pumping plants electrical safety improvements project - turning a bad situation into an opportunity (case history)",NA
"A critical evaluation of the rational need for an it management system for flash flood events in jeddah, saudi arabia","10.1109/DESE.2013.45"
"Implementation of flash flood monitoring system based on wireless sensor network in bangladesh",NA
"Applying satellite remote sensing technique in disastrous rainfall systems around taiwan","10.1117/12.2229214"
"Characterization of dynamic evolution of the spatio-temporal variation of rain-field in hong kong","10.2166/NH.2015.129"
"Short-term water level prediction using different artificial intelligent models",NA
"Hydro-geomorphological hazard in catchments of the waraira repano national park south hillside, distrito capital, venezuela",NA
"Flash flooding prediction in regions of northern vietnam using the kineros2 model","10.2166/NH.2015.125"
"Analysis of the effect of image noise and sampling interval on the resolution enhancement",NA
"Sensitivity analysis of flash-flood modelling in grenada, as a small island caribbean states","10.1063/1.4947414"
"A comparison of flash flood response at two different watersheds in grenada, caribbean islands","10.1088/1755-1315/29/1/012004"
"Optimal allocation of ecological management practices in a hilly urban watershed","10.1007/978-3-319-40195-9\_4"
"Modeling hydrological effects as altering land covers and climate changes in the fengshan creek basin, taiwan",NA
"Development of tracking technique for the short term rainfall field forecasting","10.1016/J.PROENG.2016.07.596"
"Modelling origin and transport fate of waste materials on the southeastern adriatic coast (croatia)","10.15233/GFZ.2016.33.3"
"Sediment transport modelling with advanced hydroinformatic tool case study - modelling on bega channel sector","10.1016/J.PROENG.2016.08.651"
"Mitigating the impact of flash flooding","10.1136/VR.H6835"
"An approach for the estimation of hydrometeorological variables towards the determination of z-r coefficients","10.1007/S40710-015-0119-X"
"Enhancement of flood tolerance in a high yielding rice variety `amara' by marker assisted selection",NA
"The historical flood of july 2008 from vaser river basin, romania. Causes, effects and flood control actions","10.1515/PESD-2015-0039"
"Urban planning in riverfront areas. A case study of a mediterranean city: terrassa (catalonia, ne spain)","10.1515/MGRSD-2015-0015"
"State estimation in flash flood prediction for small rivers","10.1515/AUTO-2014-1169"
"Climate change: region and season specific agriculture impact assessment (thirty year analysis of khyber pakhtunkhwa i.e. 1980-2010)",NA
"Flood response for the watersheds of the fernow experimental forest in the central appalachians","10.1002/2014WR015871"
"Quantitative precipitation estimation using high density rain gauge network in seoul area","10.14191/ATMOS.2015.25.2.283"
"The efficiency of management and maintenance on skudai drainage system",NA
"Shonabondhu: a sensing middleware to handle flash flood","10.1145/2809695.2817874"
"Litmas: live road traffic maps for smartphones",NA
"Comprehensive analysis of hydrologic processes and nitrate concentrations at the watershed scale based on continuous monitoring data",NA
"Large wood recruitment and transport during a severe flash flood in north-western italy","10.1007/978-3-319-09054-2\_32"
"Flash floods - causes, effects, possibilities of modelling with hydroinformatic tools",NA
"Hydrological analyses of flood events in bulgaria in 2014",NA
"Superpoint-based detection against distributed denial of service (ddos) flooding attacks",NA
"Water management in the urban cultural heritage of myanmar","10.1017/TRN.2016.6"
"A river flash flood forecasting model coupled with ensemble kalman filter","10.1111/JFR3.12128"
"Geotechnical hazard analysis of river embankment of bangladesh and its protectability",NA
"Influence of rainfall spatial variability for the hydrological modelling of small catchments: a simulation approach","10.1051/LHB/2016018"
"Regionalization methods for a process oriented distributed model dedicated to flash floods","10.1051/LHB/2016021"
"Investigating ``risk culture. Ethnography of a wealthy neighborhood in a threatened area","10.1051/LHB/2016010"
"Conserving water \& biodiversity: traditions of sacred groves in india","10.14207/EJSD.2016.V5N4P129"
"Shonabondhu: a cloud based system to handle flash flood",NA
"Influence of dem in watershed management as flood zonation mapping","10.5194/ISPRSARCHIVES-XLI-B8-3-2016"
"Inclined headwall is an efficient tool for maximizing the discharge efficiency through culverts",NA
"Hazard analysis in urban streets due to flash floods: case study of barranquilla, colombia",NA
"Neural networks-based operational prototype for flash forecasting: application to liane flash floods (france)","10.1051/E3SCONF/20160718025"
"A theoretical discussion and case study on the development of smart storm drainage unit for compact cities",NA
"Modelling and mapping mass movements using statistic method and morphometric parameters",NA
"Experimental study of flooding area characteristics of flash floods under different bedload transport conditions",NA
"Implementation and performance analysis of the lightning potential index as a forecasting tool",NA
"Poster: a low cost cloud based system to handle flash flood",NA
"Debris flows occurrence by intense rains at itaoca city, sao paulo, brazil: field observations",NA
"Hydrological modeling and spatialization of susceptible areas to flooding in the igrejinha city, rs","10.12957/GEOUERJ.2016.10984"
"Flood prevention concept for communities affected by heavy precipitation",NA
"S\&t converging trends in dealing with disaster: a review on ai tools","10.1063/1.4940070"
"3d gui for flash floods modeling applications in river catchments",NA
"Application of geographic information systems (gis) in analysing rainfall distribution patterns in batu pahat district","10.1088/1757-899X/136/1/012064"
"Study on slope protection engineering in mountain flood control project based on comparative analysis method","10.1109/ICSCSE.2016.19"
"Monitoring and anticipating floods in france","10.1051/E3SCONF/20160718014"
"Geomagnetic field measurement at earth surface: flash flood forecasting using tesla meter",NA
"Observational and numerical study of a tornado outbreak in attica and euboea","10.1007/978-3-319-35095-0\_15"
